MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1055.4399414	1055.4399414	1041.4399414	1404.2	1485.0045166
1058.4200439	1058.4200439	1044.4200439	1408.2	1490.0704346
1061.3900146	1061.3900146	1047.3900146	1412.2	1484.9602051
1064.3599854	1064.3599854	1050.3599854	1416.2	1485.0045166
1067.3399658	1067.3399658	1053.3399658	1420.2	1489.9649658
1070.3199463	1070.3199463	1056.3199463	1424.2	1490.009399
1073.3	1073.3	1059.3	1428.2	1490.026001
1076.27002	1076.27002	1062.27002	1432.2	1485.0045166
1079.25	1079.25	1065.25	1436.2	1490.009399
1082.219971	1082.219971	1068.219971	1440.2	1484.9602051
1085.2	1085.2	1071.2	1444.2	1490.009399
1088.1700439	1088.1700439	1074.1700439	1448.2	1485.02124
1091.1400146	1091.1400146	1077.1400146	1452.2	1485.0045166
1094.12	1094.12	1080.12	1456.2	1489.9649658
1097.1	1097.1	1083.1	1460.2	1490.009399
1100.0699463	1100.0699463	1086.0699463	1464.2	1485.0045166
1103.0500488	1103.0500488	1089.0500488	1468.2	1490.026001
1106.030029	1106.030029	1092.030029	1472.2	1490.009399
1109	1109	1095	1476.2	1484.9602051
1111.97998	1111.97998	1097.97998	1480.2	1490.009399
1114.9499512	1114.9499512	1100.9499512	1484.2	1484.9602051
1117.9300537	1117.9300537	1103.9300537	1488.2	1490.0704346
1120.9	1120.9	1106.9	1492.2	1485.0045166
1123.87	1123.87	1109.87	1496.2	1484.9602051
1126.8499756	1126.8499756	1112.8499756	1500.2	1490.009399
1129.8299561	1129.8299561	1115.8299561	1504.2	1489.9649658
1132.8100586	1132.8100586	1118.8100586	1508.2	1490.0704346
1135.780029	1135.780029	1121.780029	1512.2	1484.9602051
1138.76001	1138.76001	1124.76001	1516.2	1490.009399
1141.72998	1141.72998	1127.72998	1520.2	1485.0045166
1144.709961	1144.709961	1130.709961	1524.2	1489.9649658
1147.6800537	1147.6800537	1133.6800537	1528.2	1485.0655518
1150.6500244	1150.6500244	1136.6500244	1532.2	1484.9602051
1153.63	1153.63	1139.63	1536.2	1490.009399
1156.6099854	1156.6099854	1142.6099854	1540.2	1489.9649658
1159.5899658	1159.5899658	1145.5899658	1544.2	1490.009399
1162.5600586	1162.5600586	1148.5600586	1548.2	1485.0655518
1165.540039	1165.540039	1151.540039	1552.2	1489.9649658
1168.51001	1168.51001	1154.51001	1556.2	1485.0045166
1171.49	1171.49	1157.49	1560.2	1489.9649658
1174.459961	1174.459961	1160.459961	1564.2	1485.0045166
1177.4300537	1177.4300537	1163.4300537	1568.2	1485.02124
1180.4100342	1180.4100342	1166.4100342	1572.2	1490.009399
1183.3900146	1183.3900146	1169.3900146	1576.2	1489.9649658
1186.3599854	1186.3599854	1172.3599854	1580.2	1485.0045166
1189.3399658	1189.3399658	1175.3399658	1584.2	1490.009399
1192.3199463	1192.3199463	1178.3199463	1588.2	1489.9649658
1195.290039	1195.290039	1181.290039	1592.2	1485.0655518
1198.27002	1198.27002	1184.27002	1596.2	1489.9649658
1201.24	1201.24	1187.24	1600.2	1485.0045166
1204.219971	1204.219971	1190.219971	1604.2	1489.9649658
1207.1899414	1207.1899414	1193.1899414	1608.2	1485.0045166
1210.1600342	1210.1600342	1196.1600342	1612.2	1485.0655518
1213.1400146	1213.1400146	1199.1400146	1616.2	1489.9649658
1216.12	1216.12	1202.12	1620.2	1490.009399
1219.1	1219.1	1205.1	1624.2	1489.9649658
1222.0699463	1222.0699463	1208.0699463	1628.2	1485.0045166
1225.0500488	1225.0500488	1211.0500488	1632.2	1490.026001
1228.02002	1228.02002	1214.02002	1636.1899414	1488.7314453
1231	1231	1217	1640.1899414	1490.009399
1233.969971	1233.969971	1219.969971	1644.1899414	1484.9602051
1239.9200439	1239.9200439	1225.9200439	1652.1899414	1487.5152588
1245.88	1245.88	1231.88	1660.1899414	1489.9871826
1248.8499756	1248.8499756	1234.8499756	1664.1899414	1485.0045166
1251.8299561	1251.8299561	1237.8299561	1668.1899414	1490.009399
1254.8	1254.8	1240.8	1672.1899414	1485.02124
1257.780029	1257.780029	1243.780029	1676.1899414	1490.009399
1260.75	1260.75	1246.75	1680.1899414	1484.9602051
1263.72998	1263.72998	1249.72998	1684.1899414	1490.009399
1266.7	1266.7	1252.7	1688.1899414	1484.9602051
1269.6700439	1269.6700439	1255.6700439	1692.1899414	1485.0655518
1272.6500244	1272.6500244	1258.6500244	1696.1899414	1489.9649658
1278.6099854	1278.6099854	1264.6099854	1704.1899414	1490.009399
1281.5799561	1281.5799561	1267.5799561	1708.1899414	1484.9602051
1284.5600586	1284.5600586	1270.5600586	1712.1899414	1490.0704346
1287.530029	1287.530029	1273.530029	1716.1899414	1484.9602051
1290.51001	1290.51001	1276.51001	1720.1899414	1490.009399
1293.47998	1293.47998	1279.47998	1724.1899414	1484.9602051
1296.4499512	1296.4499512	1282.4499512	1728.1899414	1485.0045166
1299.4300537	1299.4300537	1285.4300537	1732.1899414	1490.0704346
1302.4100342	1302.4100342	1288.4100342	1736.1899414	1489.9649658
1305.3900146	1305.3900146	1291.3900146	1740.1899414	1490.009399
1308.3599854	1308.3599854	1294.3599854	1744.1899414	1484.9602051
1311.3399658	1311.3399658	1297.3399658	1748.1899414	1490.009399
1314.3100586	1314.3100586	1300.3100586	1752.1899414	1485.02124
1317.290039	1317.290039	1303.290039	1756.1899414	1490.009399
1320.26001	1320.26001	1306.26001	1760.1899414	1485.0045166
1323.22998	1323.22998	1309.22998	1764.1899414	1484.9602051
1326.209961	1326.209961	1312.209961	1768.1899414	1490.009399
1329.1899414	1329.1899414	1315.1899414	1772.1899414	1489.9649658
1332.1700439	1332.1700439	1318.1700439	1776.1899414	1490.0704346
1335.1400146	1335.1400146	1321.1400146	1780.1899414	1484.9602051
1338.12	1338.12	1324.12	1784.1899414	1490.009399
1341.0899658	1341.0899658	1327.0899658	1788.1899414	1485.0045166
1344.0699463	1344.0699463	1330.0699463	1792.1899414	1489.9649658
1347.040039	1347.040039	1333.040039	1796.1899414	1485.0655518
1350.02002	1350.02002	1336.02002	1800.1899414	1489.9649658
1352.99	1352.99	1338.99	1804.1899414	1485.0045166
1355.959961	1355.959961	1341.959961	1808.1899414	1484.9602051
1358.9399414	1358.9399414	1344.9399414	1812.1899414	1490.009399
1361.9200439	1361.9200439	1347.9200439	1816.1899414	1490.0704346
1364.9	1364.9	1350.9	1820.1899414	1489.9649658
1367.87	1367.87	1353.87	1824.1899414	1485.0045166
1370.8499756	1370.8499756	1356.8499756	1828.1899414	1489.9649658
1373.8199463	1373.8199463	1359.8199463	1832.1899414	1485.0045166
1376.8	1376.8	1362.8	1836.1899414	1490.026001
1382.74	1382.74	1368.74	1844.1899414	1485.0045166
1385.12	1385.12	1371.12	1848.1899414	1189.9823
1385.719971	1385.719971	1371.719971	1849.209961	1176.4749756
1387.459961	1387.459961	1373.459961	1852.1899414	1167.7811279
1388.0500488	1388.0500488	1374.0500488	1853.209961	1156.9512939
1388.7	1388.7	1374.7	1854.3900146	1101.4801025
